row_num,star_number,Star_name,Distance,mass_in_kg,radius_in_metre,star_gravity
0,2,Canopus,310.0,2.9835e+31,1.41219e+32,1.4690296780301912e-32
1,7,Rigel,860.0,4.574699999999999e+31,1.5693210000000001e+32,1.824021015193109e-32
2,9,Betelgeuse,640.0,3.978e+31,1.8895499999999998e+33,1.0940540878227436e-34
3,10,Achernar,144.0,1.33263e+31,1.84977e+31,3.8244141262239414e-31
4,11,Hadar,390.0,2.08845e+31,1.7105399999999998e+31,7.008876453306027e-31
5,13,Acrux,320.0,3.5801999999999996e+31,1.77021e+31,1.1218854094609563e-30
6,15,Antares,600.0,2.3868e+31,1.35252e+33,1.2812073714446706e-34
7,16,Spica,260.0,2.2734269999999998e+31,1.4857829999999998e+31,1.0112558217691919e-30
8,19,Mimosa,350.0,3.1824e+31,1.67076e+31,1.1194827826077392e-30
9,21,Adhara,430.0,2.48625e+31,2.7846e+31,3.1485453260842667e-31
10,22,Shaula,700.0,2.88405e+31,1.75032e+31,9.24397295116889e-31
11,25,Bellatrix,240.0,1.7105399999999998e+31,1.15362e+31,1.262113674589213e-30
12,26,Elnath,130.0,9.945e+30,8.3538e+30,1.3993534782596741e-30
13,27,Miaplacidus,110.0,6.9615e+30,1.3525199999999998e+31,3.736854833380291e-31
14,28,Alnair,101.0,7.956e+30,6.762599999999999e+30,1.708276495259561e-30
15,30,Alnitak,1050.0,6.5637e+31,3.978e+31,4.072958233822608e-31
16,31,Dubhe,120.0,8.453249999999999e+30,5.967e+31,2.331322894780617e-32
17,32,Mirfak,590.0,1.6906499999999999e+31,1.3525199999999999e+32,9.075218881066418e-33
18,33,Sargas,270.0,1.13373e+31,5.1713999999999995e+31,4.162786790889164e-32
19,34,Kaus Australis,140.0,6.9615e+30,1.3525199999999998e+31,3.736854833380291e-31
20,35,Avior,630.0,1.7900999999999998e+31,2.5857e+32,2.6291284995089446e-33
21,36,Alkaid,104.0,1.2132899999999998e+31,6.762599999999999e+30,2.6051216552708306e-30
22,38,Atria,390.0,1.3923e+31,1.8298799999999998e+32,4.082990725319108e-33
23,39,Alhena,109.0,5.5692e+30,6.563699999999999e+30,1.2693639485436518e-30
24,40,Peacock,180.0,1.17351e+31,9.547199999999999e+30,1.2642284080152245e-30
25,42,Mirzam,500.0,2.68515e+31,1.989e+31,6.664840746255177e-31
26,43,Polaris,430.0,1.07406e+31,7.757099999999999e+31,1.7527523330059637e-32
27,44,Alphard,180.0,5.967e+30,9.945e+31,5.924302885560156e-33
28,45,Scheat,196.0,4.1769e+30,1.88955e+32,1.1487567922138807e-33
29,46,Almaaz,653.0,2.9835e+31,2.7846e+32,3.778254391301121e-33
30,47,Rasalgethi,360.0,5.5692e+30,5.5692e+32,1.7631853826071894e-34
31,51,Delta Cephei,887.0,8.950499999999999e+30,8.85105e+31,1.1218854094609561e-32
32,54,R Doradus,178.0,1.5912e+30,5.92722e+32,4.4474745023198327e-35
33,55,Polaris Australis,281.0,3.16251e+30,7.43886e+30,5.611900056741117e-31
34,57,Mira,300.0,2.3867999999999998e+30,7.359299999999999e+32,4.3274674109277996e-35
35,59,HD 140283,190.0,3.978e+30,2.7846e+30,5.0376725217348274e-30
36,60,II Pegasi,130.0,1.5912e+30,6.762599999999999e+30,3.416552990519122e-31
37,70,2MASS J00040288-6410358,192.0,3.6074835108e+28,3.3316483941e+29,3.1913675310785716e-30
38,72,2MASS J00274197+0503417,236.0,5.8858941492000005e+28,2.9432967408e+29,6.671678956328239e-30
39,74,2MASS J00332386-1521309 [de],131.0,5.5061590427999995e+28,2.9228571801e+29,6.328843448948916e-30
40,83,2MASSI J0117474-340325 [de],163.0,3.797351064e+28,3.3112088334e+29,3.400935509398703e-30
41,84,2MASS J01415823-4633574 [de],130.0,3.797351064e+28,3.2907692727e+29,3.4433143593480025e-30
42,86,SDSS J020742.48+000056.2 [de],111.0,8.9237750004e+28,1.9826373879e+29,2.229219428689021e-29
43,87,2MASS J02103857-3015313,101.0,2.848013298e+28,3.1272527870999998e+29,2.8596101342002944e-30
44,88,2MASS J02340093-6442068,155.0,3.797351064e+28,3.3112088334e+29,3.400935509398703e-30
45,89,2MASS J02411151-0326587 [de],152.0,5.1264239364e+28,2.8819780587e+29,6.060716489949723e-30
46,93,2MASS J02535980+3206373,184.0,1.2341390958e+29,3.8835165329999994e+29,8.035346049948579e-30
47,98,2MASS J03231002-4631237,192.0,4.3669537235999995e+28,3.3929670761999996e+29,3.724861163991817e-30
48,105,Teide 1,380.0,1.0442715426e+29,7.726153944599999e+29,1.7178194664819986e-30
49,111,2MASS J04362788-4114465,142.0,7.4048345748e+28,4.0265934579e+29,4.4846709640002614e-30
50,122,2MASS J06085283-2753583,102.0,7.2149670216e+28,3.0863736656999998e+29,7.437519752048296e-30
51,154,TWA 28,180.0,6.8352319152e+28,4.8850550073e+29,2.8125815849790316e-30
52,155,Cha 110913-773444,163.0,1.5189404256e+28,3.679120926e+29,1.10190310504518e-30
53,158,TWA 26,137.0,5.696026596e+28,4.496703354e+29,2.7661410591526726e-30
54,159,2MASS J11544223-3400390 [de],129.0,7.0250994684e+28,3.0659341049999996e+29,7.3386746796009e-30
55,161,2MASS J12074836-3900043,217.0,3.2277484044000003e+28,3.4951648797e+29,2.594508696089759e-30
56,164,TWA 29,262.0,3.797351064e+27,5.109890175000001e+30,1.4280664241385527e-33
57,168,2MASS J13204427+0409045,101.0,1.27211260644e+29,2.0643956306999997e+29,2.9310989859230433e-29
58,173,SDSS J141659.78+500626.4 [de],149.0,1.12021856388e+29,2.0235165093e+29,2.6864579833746125e-29
59,179,CFBDSIR 1458+10A,104.0,2.1075298803e+28,3.0659341049999996e+29,2.201602445435906e-30
60,180,CFBDSIR 1458+10B,104.0,1.7088079788e+28,2.657142891e+29,2.376589833070817e-30
61,195,2MASS J16262034+3925190 [de],110.0,1.3480596277199998e+29,2.1052747520999997e+29,2.9866362320269725e-29
62,199,2MASSI J1726000+153819,114.0,4.5568212767999995e+28,2.861538498e+29,5.4645398882852795e-30
63,203,2MASSW J1841086+311727,138.0,1.27211260644e+29,2.0643956306999997e+29,2.9310989859230433e-29
64,205,2MASS J20004841-7523070,105.0,4.7466888299999995e+28,3.8426374116e+29,3.156623171848814e-30
65,210,HB 2124-4228,113.0,1.78475500008e+29,2.4731868447e+29,2.8652039620975346e-29
66,214,2MASSW J2208136+292121,154.0,5.1264239364e+28,2.8819780587e+29,6.060716489949723e-30
67,220,2MASS J23225299-6151275,148.0,3.2277484044000003e+28,3.2498901513e+29,3.0009109126363928e-30